Sample_ID,Species,Sex,Age_Months,Age_Group,Swab_type,Body_region,Health_status,Prior_Antibiotics_Use,MSA_agar_char,PCR_nuc,PCR_mecA,S_aureus_Confirmed,Archived_MRSA_Status,Cefoxitin_FOX,Nitrofurantoin_F,TMP_SXT,Tetracycline_TE,Chloramphenicol_C,Gentamicin_CN,Ciprofloxacin_CIP,Azithromycin_AZM,Clindamycin_DA,Erythromycin_E,Enrofloxacin_ENR,Genotype_phenotype_group,Cefoxitin_zone_diameter_mm,Nitrofurantoin_zone_diameter_mm,TMP_zone_diameter_mm,Tetracycline_zone_diameter_mm,Chloramphenicol_zone_diameter_mm,Gentamicin_zone_diameter_mm,Ciprofloxacin_zone_diameter_mm,Azithromycin_zone_diameter_mm,Clindamycin_zone_diameter_mm,Erythromycin_zone_diameter_mm,Enrofloxacin_zone_diameter_mm,Class_Beta_lactam_R,Class_Nitrofuran_R,Class_Folate_pathway_inhibitor_R,Class_Tetracycline_R,Class_Phenicol_R,Class_Aminoglycoside_R,Class_Fluoroquinolone_R,Class_Macrolide_R,Class_Lincosamide_R,Resistance_class_count,MDR_ge_3_classes,OS_MRSA,Analysis_inclusion_species_comparison,Analysis_inclusion_prior_antibiotic_comparison,Zone_diameter_availability_note
51_a,Cat,Male,24,1-3 yr,Abscess Fluid,Thorax region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
76_a,Dog,Male,36,3-6 yr,Wound Swab,Leg region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
43_a,Cat,Female,14,1-3 yr,Wound Swab,Abdominal region,Sick,Yes,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Resistant,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
39_a,Cat,Female,36,3-6 yr,Pyometra,Pelvic region,Sick,Yes,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Resistant,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
78_a,Dog,Male,36,3-6 yr,Wound Swab,Leg region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
65_a,Dog,Female,12,1-3 yr,Wound Swab,Head region,Apparently Healthy,Unknown,Sawarming Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
77_a,Cat,Female,48,3-6 yr,Wound Swab,Abdominal region,Sick,Yes,No Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
22_a,Cat,Female,4,<1 yr,Wound Swab,Head region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
23_a,Cat,Male,6,<1 yr,Wound Swab,Head region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
66_a,Cat,Male,3,<1 yr,Wound Swab,Head region,Dead,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
55_a,Cat,Male,18,1-3 yr,Wound Swab,Abdominal region,Sick,Unknown,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Resistant,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,TRUE,FALSE,TRUE,FALSE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
64_a,Dog,Female,96,>6 yr,Wound Swab,Neck region,Sick,Yes,Pink Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
93_a,Cat,Male,18,1-3 yr,Wound Swab,Head region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
35_a,Dog,Female,12,1-3 yr,Wound Swab,Head region,Apparently Healthy,Unknown,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
40_a,Cat,Female,3,<1 yr,Wound Swab,Thorax region,Apparently Healthy,No,Pink Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
34_a,Cat,Female,36,3-6 yr,Wound Swab,Head region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
42_a,Cat,Male,10,<1 yr,Wound Swab,Leg region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
94_a,Cat,Female,11,<1 yr,Wound Swab,Leg region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
99_a,Cat,Male,6,<1 yr,Wound Swab,Neck region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
101_a,Cat,Female,60,3-6 yr,Wound Swab,Leg region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
54_a,Dog,Male,22,1-3 yr,Wound Swab,Head region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
88_a,Cat,Female,16,1-3 yr,Wound Swab,Abdominal region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
97_a,Cat,Female,12,1-3 yr,Wound Swab,Leg region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
96_a,Cat,Male,72,>6 yr,Wound Swab,Abdominal region,Sick,Yes,Pink Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
95_a,Cat,Male,4,<1 yr,Wound Swab,Head region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
102_a,Cat,Female,12,1-3 yr,Wound Swab,Head region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
86_a,Cat,Female,3,<1 yr,Wound Swab,Head region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
89_a,Cat,Female,3,<1 yr,Wound Swab,Head Region,Sick,No,Yellow Colony,Yes,No,Yes,MSSA,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Resistant,Resistant,Resistant,Resistant,Resistant,mecA-negative / cefoxitin-resistant S. aureus,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,5,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
87_a,Cat,Male,36,3-6 yr,Wound Swab,Leg region,Sick,Yes,Yellow Colony,Yes,Yes,Yes,MRSA,Resistant,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Resistant,Susceptible,Resistant,Resistant,mecA-positive / cefoxitin-resistant,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,TRUE,FALSE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
83_a,Dog,Male,60,3-6 yr,Wound Swab,Neck region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
92_a,Cat,Male,24,1-3 yr,Wound Swab,Abdominal region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
91_a,Cat,Male,60,3-6 yr,Wound Swab,Leg region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
98_a,Cat,Female,6,<1 yr,Wound Swab,Leg region,Sick,Yes,Pink Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
90_a,Cat,Female,3,<1 yr,Wound Swab,Head region,Sick,Unknown,Yellow Colony,Yes,No,Yes,MSSA,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Resistant,Susceptible,Resistant,Susceptible,mecA-negative / cefoxitin-susceptible S. aureus,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,FALSE,FALSE,TRUE,FALSE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
100_a,Dog,Female,3,<1 yr,Wound Swab,Head region,Apparently Healthy,No,Yellow Swarming Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
85_a,Cat,Male,14,1-3 yr,Wound Swab,Abdominal region,Apparently Healthy,Yes,Pink Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
82_a,Cat,Female,13,1-3 yr,Wound Swab,Abdominal region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
1_b,Cat,Female,12,1-3 yr,Wound Swab,Head region,Apparently Healthy,No,Yellow Colony,Yes,Yes,Yes,MRSA,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Resistant,Resistant,Resistant,Resistant,mecA-positive / cefoxitin-susceptible (OS-MRSA),,,,,,,,,,,,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4,TRUE,TRUE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
7_b,Dog,Male,24,1-3 yr,Wound Swab,Head region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
39_b,Dog,Male,24,1-3 yr,Wound Swab,Abdominal region,Sick,No,Yellow Colony,Yes,Yes,Yes,MRSA,Susceptible,Resistant,Susceptible,Susceptible,Resistant,Susceptible,Resistant,Resistant,Intermediate,Resistant,Susceptible,mecA-positive / cefoxitin-susceptible (OS-MRSA),,,,,,,,,,,,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,4,TRUE,TRUE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
36_b,Dog,Male,30,1-3 yr,Wound Swab,Head region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
2_b,Cat,Male,3,<1 yr,Wound Swab,Abdominal region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
19_b,Cat,Male,6,<1 yr,Wound Swab,Leg region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
17_b,Dog,Female,30,1-3 yr,Wound Swab,Thorax region,Apparently Healthy,Yes,Yellow Colony,Yes,Yes,Yes,MRSA,Susceptible,Susceptible,Susceptible,Susceptible,Susceptible,Resistant,Susceptible,Resistant,Intermediate,Resistant,Susceptible,mecA-positive / cefoxitin-susceptible (OS-MRSA),,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,2,FALSE,TRUE,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
27_b,Dog,Male,24,1-3 yr,Wound Swab,Abdominal region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
10_b,Cat,Male,36,3-6 yr,Wound Swab,Abdominal region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
6_b,Dog,Male,36,3-6 yr,Wound Swab,Neck region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
53_b,Dog,Male,36,3-6 yr,Wound Swab,Thorax region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
9_b,Dog,Male,24,1-3 yr,Wound Swab,Leg region,Sick,Unknown,Pink Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,FALSE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
52_b,Dog,Female,2,<1 yr,Wound Swab,Leg region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
51_b,Dog,Female,12,1-3 yr,Wound Swab,Head region,Apparently Healthy,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
