Sample_ID,Species,Sex,Age_Months,Age_Group,Swab_type,Body_region,Health_status,Prior_Antibiotics_Use,MSA_agar_char,PCR_nuc,PCR_mecA,S_aureus_Confirmed,Archived_MRSA_Status,Cefoxitin_FOX,Nitrofurantoin_F,TMP_SXT,Tetracycline_TE,Chloramphenicol_C,Gentamicin_CN,Ciprofloxacin_CIP,Azithromycin_AZM,Clindamycin_DA,Erythromycin_E,Enrofloxacin_ENR,Genotype_phenotype_group,Cefoxitin_zone_diameter_mm,Nitrofurantoin_zone_diameter_mm,TMP_zone_diameter_mm,Tetracycline_zone_diameter_mm,Chloramphenicol_zone_diameter_mm,Gentamicin_zone_diameter_mm,Ciprofloxacin_zone_diameter_mm,Azithromycin_zone_diameter_mm,Clindamycin_zone_diameter_mm,Erythromycin_zone_diameter_mm,Enrofloxacin_zone_diameter_mm,Class_Beta_lactam_R,Class_Nitrofuran_R,Class_Folate_pathway_inhibitor_R,Class_Tetracycline_R,Class_Phenicol_R,Class_Aminoglycoside_R,Class_Fluoroquinolone_R,Class_Macrolide_R,Class_Lincosamide_R,Resistance_class_count,MDR_ge_3_classes,OS_MRSA,Analysis_inclusion_species_comparison,Analysis_inclusion_prior_antibiotic_comparison,Zone_diameter_availability_note
23_b,Cat,Female,60,3-6 yr,Wound Swab,Leg region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
24_b,Cat,Female,18,1-3 yr,Wound Swab,Thorax region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
25_b,Cat,Female,24,1-3 yr,Wound Swab,Head region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
26_b,Cat,Male,24,1-3 yr,Wound Swab,Abdominal region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
28_b,Cat,Male,30,1-3 yr,Wound Swab,Leg region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
29_b,Cat,Male,12,1-3 yr,Wound Swab,Thorax region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
30_b,Cat,Male,18,1-3 yr,Wound Swab,Head region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
31_b,Cat,Male,30,1-3 yr,Wound Swab,Abdominal region,Apparently Healthy,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
32_b,Cat,Male,24,1-3 yr,Wound Swab,Leg region,Sick,Yes,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
34_b,Cat,Female,18,1-3 yr,Wound Swab,Thorax region,Sick,No,Yellow Colony,No,No,No,Not S. aureus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE,Not available in the archived analysis dataset; do not infer from categorical interpretations.
